NM_MUN,date,precipitation,SIGLA_UF,Lat,Long
Barra do Turvo,2023-02-22,"20,58440018",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-02-21,"16,81642723",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-02-20,"18,79950905",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-02-19,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-02-18,"25,75465393",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-02-17,"31,01911545",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-02-16,"18,25005913",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-02-15,"27,91676903",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-02-14,"20,03897285",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-02-13,"21,12260818",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-02-12,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-02-11,"10,68146038",SP,"-24,88874209","-48,42697368"
